Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
1	5.66	31.86	15.88	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	0	
2	6.3	39.9	22.23	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	2	
3	5.78	27.67	28.18	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	0	
4	7.18	17.0	27.82	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	0	
5	7.31	31.93	7.14	Right Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	1	
6	-6.37	-17.08	40.49	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	0	
7	-5.96	1.49	36.88	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
8	-6.22	11.65	38.51	Left Cerebrum	Frontal Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	1	
9	-9.11	-41.39	44.11	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	2	
10	-7.17	-37.06	31.85	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	2	
11	-7.7	-28.13	41.36	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
12	-7.18	-40.71	37.19	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	0	
13	-6.12	-10.38	37.12	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
14	4.89	-26.74	32.26	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 23	0	
15	6.31	-44.2	31.2	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	0	
16	7.12	-31.3	42.37	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 31	1	
17	6.21	13.81	35.52	Right Cerebrum	Frontal Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	0	
18	4.3	-21.65	40.94	Right Cerebrum	Frontal Lobe	Paracentral Lobule	Gray Matter	Brodmann area 31	3	
19	4.46	-9.51	39.07	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
20	6.41	19.62	39.06	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	1	
21	4.88	0.78	37.35	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	0	
22	6.41	-40.82	38.78	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	0	
23	-6.9	-45.88	16.66	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	0	
24	-5.4	-43.76	25.98	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 23	2	
25	5.28	-43.72	18.67	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 30	0	
26	-9.09	-67.68	21.46	Left Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
27	-5.04	-77.2	15.79	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
28	-9.18	-88.83	21.96	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	0	
29	-8.15	-84.77	11.57	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	1	
30	-7.68	-80.59	28.38	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	2	
31	-3.17	-84.99	17.92	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	0	
32	11.85	-82.34	24.06	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	2	
33	7.32	-72.23	22.86	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	0	
34	10.19	-81.04	14.52	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
35	9.06	-75.27	20.04	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
36	13.83	-91.72	5.42	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	0	
37	12.89	-78.03	32.93	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	1	
38	-43.92	8.99	11.08	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
39	-48.73	7.6	26.69	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
40	-45.32	4.42	17.33	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	4	
41	-45.29	9.5	19.48	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	5	
42	46.56	11.25	10.06	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 44	1	
43	40.33	5.82	34.79	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	0	
44	47.32	9.04	21.52	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	5	
45	46.55	6.3	28.36	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	1	
46	39.54	11.01	34.3	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	1	
47	50.15	10.0	16.49	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	2	
48	-35.77	36.1	-2.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 47	5	
49	-40.47	25.68	-5.56	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	2	
50	-33.4	34.59	-4.7	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	3	
51	-44.07	20.48	-1.11	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	1	
52	-43.14	33.44	0.96	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 47	4	
