Node	X	Y	Z	Label	Abbr
0	7.244	37.011	9.425	Cingulum_Ant_R	ACG_R
1	7.987	46.222	15.609	Cingulum_Ant_R	ACG_R
2	7.557	33.832	23.511	Cingulum_Ant_R	ACG_R
3	9.116	22.455	24.206	Cingulum_Ant_R	ACG_R
4	8.902	36.187	-0.317	Cingulum_Ant_R	ACG_R
5	-5.214	-12.526	42.119	Cingulum_Mid_L	DCG_L
6	-4.891	6.849	36.151	Cingulum_Mid_L	DCG_L
7	-5.198	17.824	36.890	Cingulum_Mid_L	DCG_L
8	-8.017	-38.017	48.739	Cingulum_Mid_L	DCG_L
9	-6.115	-34.674	34.644	Cingulum_Mid_L	DCG_L
10	-6.593	-24.198	44.269	Cingulum_Mid_L	DCG_L
11	-6.030	-38.010	40.950	Cingulum_Mid_L	DCG_L
12	-5.017	-5.752	37.667	Cingulum_Mid_L	DCG_L
13	6.874	-23.614	33.780	Cingulum_Mid_R	DCG_R
14	8.466	-42.290	34.415	Cingulum_Mid_R	DCG_R
15	9.452	-27.405	45.444	Cingulum_Mid_R	DCG_R
16	8.187	19.862	33.114	Cingulum_Mid_R	DCG_R
17	6.344	-17.298	42.891	Cingulum_Mid_R	DCG_R
18	6.442	-4.582	39.537	Cingulum_Mid_R	DCG_R
19	8.422	26.405	36.422	Cingulum_Mid_R	DCG_R
20	6.831	6.189	36.535	Cingulum_Mid_R	DCG_R
21	8.667	-37.900	42.478	Cingulum_Mid_R	DCG_R
22	-5.992	-45.636	18.696	Cingulum_Post_L	PCG_L
23	-4.257	-42.410	28.800	Cingulum_Post_L	PCG_L
24	7.176	-43.087	20.472	Cingulum_Post_R	PCG_R
25	-8.206	-68.330	26.360	Cuneus_L	CUN_L
26	-3.866	-79.027	20.991	Cuneus_L	CUN_L
27	-8.211	-90.777	29.142	Cuneus_L	CUN_L
28	-7.263	-87.525	17.161	Cuneus_L	CUN_L
29	-6.539	-81.336	35.380	Cuneus_L	CUN_L
30	-1.794	-87.088	24.147	Cuneus_L	CUN_L
31	14.509	-83.571	30.402	Cuneus_R	CUN_R
32	9.565	-72.967	28.089	Cuneus_R	CUN_R
33	12.579	-83.183	19.698	Cuneus_R	CUN_R
34	11.411	-76.476	25.247	Cuneus_R	CUN_R
35	16.432	-95.481	10.654	Cuneus_R	CUN_R
36	15.746	-78.063	39.768	Cuneus_R	CUN_R
37	-46.298	12.000	7.426	Frontal_Inf_Oper_L	IFGoperc_L
38	-51.271	12.127	24.997	Frontal_Inf_Oper_L	IFGoperc_L
39	-47.705	7.788	14.876	Frontal_Inf_Oper_L	IFGoperc_L
40	-47.655	13.412	16.723	Frontal_Inf_Oper_L	IFGoperc_L
41	51.437	14.646	4.365	Frontal_Inf_Oper_R	IFGoperc_R
42	45.068	11.419	32.504	Frontal_Inf_Oper_R	IFGoperc_R
43	52.421	13.488	17.306	Frontal_Inf_Oper_R	IFGoperc_R
44	51.693	11.284	25.200	Frontal_Inf_Oper_R	IFGoperc_R
45	44.184	16.879	31.431	Frontal_Inf_Oper_R	IFGoperc_R
46	55.408	14.000	11.563	Frontal_Inf_Oper_R	IFGoperc_R
47	-37.784	39.509	-10.095	Frontal_Inf_Orb_L	ORBinf_L
48	-42.861	28.036	-12.861	Frontal_Inf_Orb_L	ORBinf_L
49	-35.256	37.628	-12.975	Frontal_Inf_Orb_L	ORBinf_L
50	-46.670	22.959	-7.303	Frontal_Inf_Orb_L	ORBinf_L
51	-45.695	36.964	-6.386	Frontal_Inf_Orb_L	ORBinf_L
52	-22.991	19.525	-21.988	Frontal_Inf_Orb_L	ORBinf_L
53	-31.714	28.733	-16.469	Frontal_Inf_Orb_L	ORBinf_L
54	-23.509	-1.945	-18.455	Amygdala_L	AMYG_L
55	45.690	33.974	-14.052	Frontal_Inf_Orb_R	ORBinf_R
56	31.084	31.771	-17.458	Frontal_Inf_Orb_R	ORBinf_R
