Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Label
0	-7.75	31.93	15.66	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	Cingulum_Ant_R
1	-8.48	39.97	21.98	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	Cingulum_Ant_R
2	-8.21	27.74	27.95	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	Cingulum_Ant_R
3	-9.69	17.09	27.54	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	Cingulum_Ant_R
4	-9.17	32.02	6.87	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 24	Cingulum_Ant_R
5	3.28	-17.13	40.65	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	Cingulum_Mid_L
6	3.1	1.44	37.03	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	Cingulum_Mid_L
7	3.4	11.6	38.67	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	Cingulum_Mid_L
8	5.73	-41.47	44.35	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	Cingulum_Mid_L
9	4.15	-37.12	32.04	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_L
10	4.5	-28.2	41.56	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_L
11	3.98	-40.77	37.37	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_L
12	3.16	-10.43	37.27	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	Cingulum_Mid_L
13	-7.84	-26.67	32.05	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 23	Cingulum_Mid_R
14	-9.36	-44.12	30.94	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_R
15	-10.37	-31.21	42.08	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_R
16	-8.94	13.89	35.27	Left Cerebrum	Frontal Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	Cingulum_Mid_R
17	-7.44	-21.59	40.74	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_R
18	-7.46	-9.45	38.87	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	Cingulum_Mid_R
19	-9.18	19.7	38.8	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 32	Cingulum_Mid_R
20	-7.76	0.85	37.14	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	Cingulum_Mid_R
21	-9.63	-40.73	38.52	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Mid_R
22	4.19	-45.94	16.84	Right Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	Cingulum_Post_L
23	2.48	-43.8	26.11	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	Cingulum_Post_L
24	-8.01	-43.65	18.45	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 29	Cingulum_Post_R
25	6.1	-67.76	21.71	Right Cerebrum	Occipital Lobe	Precuneus	Gray Matter	Brodmann area 31	Cuneus_L
26	2.12	-77.23	15.91	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_L
27	6.02	-88.91	22.21	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_L
28	5.29	-84.83	11.79	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_L
29	4.42	-80.65	28.58	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_L
30	0.15	-85.01	17.98	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_L
31	-15.01	-82.2	23.62	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_R
32	-10.38	-72.14	22.57	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_R
33	-13.09	-80.91	14.14	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	Cuneus_R
34	-12.06	-75.16	19.7	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	Cuneus_R
35	-16.58	-91.57	4.92	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 17	Cuneus_R
36	-16.25	-77.88	32.45	Left Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 7	Cuneus_R
37	41.76	8.54	12.48	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Frontal_Inf_Oper_L
38	46.16	7.11	28.25	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Inf_Oper_L
39	42.97	3.96	18.78	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Frontal_Inf_Oper_L
40	42.91	9.04	20.92	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	Frontal_Inf_Oper_L
41	-48.64	11.74	8.5	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 44	Frontal_Inf_Oper_R
42	-43.08	6.26	33.42	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 9	Frontal_Inf_Oper_R
43	-49.7	9.54	19.93	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	Frontal_Inf_Oper_R
44	-49.13	6.8	26.79	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Inf_Oper_R
45	-42.24	11.43	32.96	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	Frontal_Inf_Oper_R
46	-52.4	10.53	14.81	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 44	Frontal_Inf_Oper_R
47	34.16	35.74	-0.85	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
48	38.86	25.27	-4.26	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
49	31.85	34.25	-3.63	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
50	42.31	20.03	0.31	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
51	41.43	33.01	2.35	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
52	20.56	18.23	-13.46	Right Cerebrum	Frontal Lobe	Subcallosal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
53	28.59	26.28	-7.59	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_L
54	20.95	-2.08	-12.19	Right Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Amygdala	Amygdala_L
55	-43.05	31.33	-6.14	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_R
56	-29.5	29.5	-9.15	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_R
57	-36.31	23.48	-9.18	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_R
58	-24.57	19.36	-11.73	Left Cerebrum	Sub-lobar	Extra-Nuclear	Gray Matter	Brodmann area 13	Frontal_Inf_Orb_R
59	-49.05	34.47	0.63	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	Frontal_Inf_Orb_R
60	-48.3	22.8	-1.76	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_R
61	-39.69	37.84	-2.35	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 47	Frontal_Inf_Orb_R
62	40.24	26.54	24.44	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	Frontal_Inf_Tri_L
63	44.78	16.67	22.78	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 46	Frontal_Inf_Tri_L
